state,state_abbr,fips_state,poverty_rate,median_household_income,white_pct,black_pct,native_pct,asian_pct,pacific_pct,two_plus_pct,grocery_cost_index,benefits_may_2025,participants_may_2025,trifecta_2024,usda_snap_region,benefits_per_person,minimum_wage,min_wage_tier,RUCC,rural_urban_category,population,participants_per_1000,snap_policy_class
Oklahoma,OK,40,0.149,66148,0.6414356326731037,0.06582591707316002,0.07095387426798845,0.025510616441450185,0.0025472524859030624,0.15100504396037207,65.005,129386266.0,692477.0,Republican,Southwest,186.8455789867389,7.25,low,7,rural,4095393.0,169.086825122766,High
Oregon,OR,41,0.11800000000000001,85220,0.7348444224530126,0.0193747219050031,0.011468105180940514,0.049440462918599534,0.0036904566574391595,0.12216144150402669,108.96,140797421.0,772893.0,Democratic,Western,182.1693572072719,14.7,high,4,mixed,4272371.0,180.90493545621388,High
Pennsylvania,PA,42,0.11599999999999999,77545,0.734955654404614,0.10537305894117871,0.002747051304822609,0.04176729108154135,0.00026363373689123677,0.07624864178544266,85.787,355777154.0,1958047.0,Divided,Mid-Atlantic,181.7000072010529,7.25,low,4,mixed,13078751.0,149.71207877571797,High
Rhode Island,RI,44,0.122,83504,0.6853857025212441,0.05552778546949226,0.006077453367232817,0.03753906292142105,0.0005241354013456705,0.1295054966789774,102.35,28680737.0,142726.0,Democratic,Northeast,200.94963076103863,15.0,high,1,urban,1112308.0,128.31517888930046,High
South Carolina,SC,45,0.133,72350,0.6318882622953692,0.23635443400243591,0.0046079172728635,0.020023797047216824,0.0005858914063967295,0.08032479921355486,80.469,105867349.0,567895.0,Republican,Southeast,186.4206393787584,7.25,low,3,urban,5478831.0,103.65258574319961,Moderate
South Dakota,SD,46,0.10400000000000001,76881,0.7992773630347725,0.020277526336451204,0.07552864862994217,0.017061240292472225,0.00016438314683416444,0.07089888381680363,64.873,14923544.0,75282.0,Republican,Mountain Plains,198.2352222310778,11.5,medium,9,rural,924669.0,81.41507934190504,Low
Tennessee,TN,47,0.135,71997,0.7195910207187576,0.14997212133789906,0.0035814741793780912,0.020193559544809933,0.00047995572619418216,0.0767666286188648,77.87,140318213.0,690545.0,Republican,Southeast,203.19923104214786,7.25,low,4,mixed,7227750.0,95.54079762028293,Low
Texas,TX,48,0.134,79721,0.4723493281466382,0.12345287346315603,0.00857682558830093,0.06128817735776976,0.0008387441036641053,0.23981322196268934,97.436,614386464.0,3455085.0,Republican,Southwest,177.82094043996022,7.25,low,6,mixed,31290831.0,110.41844813900916,Moderate
Utah,UT,49,0.083,96658,0.7748315809993855,0.012335551900281225,0.010444646711837181,0.027326933653916686,0.008704443099166488,0.1084748800737981,106.232,34030139.0,177087.0,Republican,Southwest,192.16621773478573,7.25,low,7,rural,3503613.0,50.54410975184759,Low
Vermont,VT,50,0.09,82730,0.901058299781185,0.00967782227410319,0.001801098855346164,0.020575395570962215,1.0794256838547216e-05,0.06028129833321254,82.013,12199424.0,64633.0,Democratic,Northeast,188.74915290950443,14.01,high,7,rural,648493.0,99.66645746368889,Moderate
Virginia,VA,51,0.09699999999999999,92090,0.5929392097212693,0.18221194741462424,0.004145294707471574,0.07175371785552356,0.000750408996736538,0.10190002604641028,105.537,143392688.0,824866.0,Divided,Mid-Atlantic,173.837554220928,12.41,medium,3,urban,8811195.0,93.61567869057488,Low
Washington,WA,53,0.099,99389,0.6400538816664112,0.040974946533001266,0.012341389614208274,0.10718342636130372,0.007592942104853119,0.13564232022899708,125.507,167068578.0,905471.0,Democratic,Western,184.510136713379,16.66,high,4,mixed,7958180.0,113.77865290807696,Moderate
West Virginia,WV,54,0.16699999999999998,60798,0.8939529791031419,0.032174958007976366,0.0019034124133676161,0.007062795660287495,0.0001418095920912056,0.05409273217365856,56.134,45886908.0,273566.0,Republican,Mid-Atlantic,167.73615142232586,8.75,low,7,rural,1769979.0,154.558895896505,High
Wisconsin,WI,55,0.10300000000000001,77488,0.795503923435344,0.06111231803522075,0.008482169443757103,0.0312266030305445,0.0005343085652934293,0.07779666916905371,78.278,112973934.0,689315.0,Divided,Midwest,163.89304454422142,7.25,low,6,mixed,5960975.0,115.63796191059349,Moderate
Wyoming,WY,56,0.10099999999999999,75532,0.8330275791415511,0.007826513142892151,0.017388847856941073,0.009900990099009901,0.0013988679720498692,0.0898866270264015,75.925,4985385.0,27122.0,Republican,Mountain Plains,183.8133249760342,7.25,low,7,rural,587618.0,46.15583593422938,Low
